Packet_Size,Protocol,Flow_Duration,Avg_Packet_Rate,Anomaly_Score,Attack_Label
1190,UDP,8348,44.49102396047169,0.2340624925720749,0
924,ICMP,5904,74.86213350071641,0.8301169113081226,1
1358,ICMP,5893,21.275350968977527,0.6795518622851849,1
1194,ICMP,1793,37.73540874554961,0.2361719824828773,0
1159,TCP,2965,63.78857188254786,0.3769938292104549,0
1108,UDP,3675,2.7976385951008043,0.5067117639327983,0
185,TCP,8349,72.52366972355645,0.5281400572737537,0
530,TCP,9925,83.7180146255485,0.8887277285517147,1
1302,TCP,8944,40.51502444830119,0.3805661329472163,0
394,TCP,8710,45.346299300539265,0.9085240305005123,1
151,TCP,3259,85.27693900943657,0.44136756031978963,0
1460,UDP,5755,77.78980889727731,0.7463726747923538,1
1187,ICMP,8914,29.526799414304126,0.930254319985056,1
935,TCP,502,33.073634549592356,0.9075757039632664,1
194,TCP,8630,68.20894500666907,0.056952867295681164,0
1396,UDP,1759,56.75661115236796,0.20570429497656983,0
833,UDP,8690,17.0607275385532,0.4769054255322751,0
407,ICMP,4823,31.683061013687475,0.4315542899531073,0
869,UDP,6273,90.09834441098675,0.640891664837207,1
449,ICMP,3068,69.12926923550408,0.9447090508254122,1
1279,TCP,2385,98.61145745086642,0.11240471127794882,0
1019,TCP,7560,76.93424046809618,0.45185866513424044,0
340,ICMP,8344,94.25546878221543,0.1924110378871393,0
1248,UDP,6611,22.402668813177065,0.8941075983979475,1
523,ICMP,9991,77.37700260687565,0.9645801858016528,1
1401,UDP,2838,3.0015344946319455,0.4787016818903501,0
85,TCP,9768,67.40524214944186,0.10401029772814074,0
316,UDP,4258,47.45894553390389,0.7852946667226732,1
811,ICMP,5310,35.3292471200868,0.697141350492399,1
920,ICMP,9639,86.37803087701582,0.35467082661031046,0
538,TCP,7291,85.57250157309554,0.8874074739689635,1
1146,UDP,7671,3.2078687849657146,0.9758318897827072,1
574,UDP,3231,61.34100712249367,0.5578538491301954,0
763,UDP,1369,37.415390207774685,0.5657279113442923,0
1039,TCP,5666,42.150439148544464,0.29751350511377783,0
253,UDP,593,83.37203318265883,0.5845060359833142,0
1021,ICMP,3487,31.67413738124015,0.43964232052484653,0
750,UDP,9127,94.36183225312439,0.3021910269280519,0
1021,TCP,5447,18.783748810841935,0.06718519652390131,0
626,UDP,7151,66.6095199134496,0.2527078597091249,0
1331,UDP,7479,67.5384016343627,0.19785464967766442,0
895,ICMP,7294,25.9673209813639,0.5420419845539489,0
1218,UDP,7024,33.150310287752994,0.6016700217635939,1
710,ICMP,3644,83.6450507654141,0.6085717243060165,1
84,ICMP,4087,76.4187202405403,0.3881810010456791,0
904,TCP,576,33.580492151161195,0.421229733685496,0
230,ICMP,9507,53.86169814655845,0.83423842964064,1
1361,ICMP,9459,7.10634932905645,0.4762328135171624,0
451,TCP,7053,21.665842357464292,0.9877733321371224,1
664,ICMP,8797,49.096235327179514,0.4396172300088649,0
379,TCP,7194,9.511399792641948,0.649580944617839,1
77,UDP,3373,84.48990313430181,0.0503629989933958,0
305,TCP,3846,72.08261480065714,0.6533399244188108,1
840,ICMP,7524,94.41973339420099,0.8514263944150061,1
1433,TCP,3648,69.6532236904387,0.9424578385332962,1
628,ICMP,744,94.09973585395637,0.9973206116397705,1
961,UDP,3125,55.89674301340554,0.2821786456492331,0
1427,TCP,4349,60.42164249513497,0.5753700648257168,0
155,UDP,9673,97.72013440799982,0.45071798553214737,0
1454,ICMP,8237,64.57078553956177,0.563817480575171,0
1019,ICMP,8833,4.047870317213913,0.15745295718984664,0
572,UDP,1392,72.6564748864218,0.8561495725959415,1
839,TCP,5987,90.64140052160415,0.9095689433445876,1
98,TCP,7751,79.76244472963833,0.44966166311292255,0
269,ICMP,7810,58.79949398991684,0.28042986157357686,0
1168,UDP,2899,67.45904779625812,0.14083342765301232,0
1475,UDP,5140,99.0289871359155,0.6837648247778044,1
1089,TCP,3460,9.975546762424495,0.3122318396207352,0
1085,TCP,7825,67.05723803469071,0.9095385699133887,1
1477,TCP,1969,29.056371762488787,0.67101247484487,1
629,UDP,3874,64.36894926203084,0.6456853251742407,1
1193,TCP,9347,61.15473401250994,0.5594021158982408,0
766,TCP,8734,16.192226378708046,0.04577633942872561,0
465,ICMP,8423,21.467917928283676,0.931922435685587,1
793,TCP,5622,62.54132822627814,0.62793749329946,1
225,TCP,5887,13.694764783073639,0.9940619833831104,1
265,UDP,8131,27.25290663790196,0.537356404772887,0
1059,UDP,7726,83.68930922606224,0.7101108919062131,1
333,ICMP,5608,33.38205909416222,0.05620955786622217,0
879,TCP,2724,49.31795547069663,0.6317361768234109,1
1358,ICMP,2610,94.17289317943819,0.7646496115903573,1
519,UDP,1457,23.487759794857684,0.7785142948525573,1
1339,ICMP,7646,39.572975718443026,0.7701116522302854,1
1080,UDP,1060,61.03931977881102,0.22628262729366766,0
359,ICMP,7913,75.77855402089325,0.9753984776052259,1
783,ICMP,1812,90.26368528455781,0.9951821206249387,1
401,TCP,2321,91.631825769778,0.07559587516160127,0
942,ICMP,6146,77.88736736288968,0.9364464228117573,1
1140,TCP,5445,23.604752822737733,0.28944919430436933,0
855,TCP,5874,3.4561236742140142,0.6892840817509648,1
280,TCP,3151,38.993619105206754,0.33811092073613214,0
827,TCP,5201,15.01333624779451,0.9677543233731215,1
251,ICMP,3377,71.3283770963915,0.10150385830353548,0
443,UDP,6082,66.45192809574596,0.497746816956376,0
556,UDP,5890,5.353192520524029,0.42804779194207465,0
1128,UDP,4583,83.82278413396416,0.3260234522779849,0
1244,ICMP,1245,25.625583362827044,0.6455339908801486,1
78,TCP,9249,43.79048047361318,0.13105574342166748,0
128,UDP,1441,67.1254398101185,0.7166624181336969,1
584,ICMP,4523,43.51245989837308,0.9805921238047873,1
1431,TCP,2796,44.6874924771944,0.8045587144686301,1
1216,UDP,1439,7.497171538238297,0.8600167529095454,1
711,TCP,2110,40.74291137674037,0.3596367431790025,0
1150,UDP,6800,76.71994142877837,0.3248866064812187,0
1226,UDP,2225,91.60245738147317,0.5170483546901332,0
656,UDP,9676,41.9362165692738,0.04572661476227269,0
455,TCP,9353,42.93499686102881,0.9453581344565326,1
482,ICMP,7687,70.56008352604155,0.1437851730161922,0
352,TCP,532,94.33442810942238,0.9030130391680924,1
442,UDP,6485,27.43903308369666,0.0835822220003557,0
294,TCP,3914,44.57427644725575,0.8226249276785601,1
1081,ICMP,1656,79.80135111167782,0.15196252587821513,0
104,TCP,3626,61.359663368029814,0.0381316140914727,0
1115,ICMP,8752,11.948048052431517,0.7194894502594087,1
198,ICMP,2043,63.14554082066431,0.2802653001744283,0
264,TCP,771,19.48788217513536,0.7144961527843495,1
843,UDP,5795,51.51137747376201,0.5550852504728198,0
993,ICMP,4576,53.381223498383406,0.10880739023006558,0
1120,TCP,6402,87.7441328602735,0.9321300733011637,1
1135,ICMP,3209,46.78693312723138,0.45231417476347757,0
566,UDP,9846,28.664799801353528,0.734447277798688,1
470,TCP,5721,23.865668473387124,0.5010205720156251,0
868,TCP,9029,87.55093579174928,0.6043614749612047,1
162,TCP,7222,17.93007458740461,0.30277359235669243,0
747,UDP,8701,43.16098752743123,0.20036030400345028,0
789,ICMP,4644,19.530138377767752,0.5425702034080678,0
1024,TCP,6106,77.55709997132317,0.440218972971002,0
676,ICMP,7266,47.96289135748728,0.3901132134339331,0
706,ICMP,1230,35.76322536512439,0.672567195094623,1
1092,UDP,5390,36.74886442202022,0.6905066320111359,1
1305,TCP,2148,85.36920646557496,0.04592005609126304,0
566,ICMP,4728,55.82362147514937,0.33874449424367215,0
830,TCP,2630,72.0689172619951,0.41176455022637737,0
461,TCP,4866,89.80681310881776,0.0968921611641681,0
934,UDP,2006,90.27242592802357,0.23590086669828836,0
858,TCP,2658,33.52239637944845,0.051641797222756636,0
456,TCP,3416,95.29267505149214,0.9962420986170206,1
270,ICMP,3729,3.462712319445939,0.7365572029698445,1
1102,UDP,6765,38.3067205406004,0.08745015650275367,0
955,TCP,4636,89.68408689337532,0.020249379790092115,0
927,ICMP,3189,28.18905110188131,0.7192878001522802,1
806,UDP,7690,28.03506358181052,0.43919216568266695,0
1328,UDP,3310,30.95960622310698,0.786796709064576,1
627,ICMP,6652,61.6190250998453,0.9234760378183837,1
1084,ICMP,512,44.394944785821025,0.5993003890163725,0
159,ICMP,6438,72.94674879898092,0.18710842291725305,0
548,ICMP,8499,89.59615361390192,0.7821940360464525,1
1494,ICMP,7719,67.7457381193432,0.9558117431743745,1
294,TCP,5828,21.242205299559973,0.580231287059956,0
812,TCP,4121,93.33550833368972,0.6819974472807335,1
1258,UDP,4183,27.184794461400372,0.33747469503667304,0
604,TCP,8372,15.839535237487654,0.3815276946603112,0
1123,TCP,5810,9.906760607235128,0.7346544978530639,1
588,TCP,1152,56.77499032595039,0.9277710984068192,1
1247,ICMP,6299,12.262483785584529,0.6289883872243522,1
1330,UDP,9312,14.738812527150445,0.7898479084853475,1
1173,UDP,4290,30.703017578954167,0.17163501741537301,0
641,UDP,2145,28.88364795876192,0.21195909025797355,0
745,UDP,5012,60.81971152288209,0.5320346868333901,0
620,TCP,5259,81.85778266779546,0.17655419224284052,0
1076,TCP,6374,76.37361596408635,0.6349950702209236,1
709,ICMP,4188,26.9859610169312,0.291653185394699,0
859,UDP,8189,25.28573930061201,0.791532618666892,1
1115,TCP,1879,96.61336148058979,0.8081103466143434,1
1427,TCP,4743,1.8153879176040524,0.4637874557553531,0
1418,ICMP,7007,88.09233277296137,0.18081063503763528,0
1435,ICMP,8319,20.77312339311809,0.6467749610819326,1
1318,ICMP,9093,94.78114798588702,0.9927870182635864,1
253,TCP,3153,34.88842119792445,0.6225908979425233,1
1312,TCP,6111,44.59482561543198,0.03577469071400785,0
1472,ICMP,6627,71.00494078049371,0.01729397576708258,0
1464,UDP,4423,59.17923609585277,0.3203619704923062,0
1370,ICMP,8959,32.47599364097546,0.19578380686040486,0
